Date,Home Team,Away Team,Result,Stage,Scoresheet_Home,Scorer_Home,Scoresheet_Away,Scorer_Away
"Nov 25, 1992",Rangers,Marseille,2:2,Group A,"[""79'"", ""81'""]","['Gary McSwegan', 'Mark Hateley']","[""31'"", ""57'""]","['Alen Boksic', 'Rudi Völler']"
"Nov 25, 1992",Club Brugge,CSKA Moscow,1:0,Group A,"[""16'""]",['Daniel Amokachi'],[],[]
"Dec 9, 1992",CSKA Moscow,Rangers,0:1,Group A,[],[],"[""13'""]",['Ian Ferguson']
"Dec 9, 1992",Marseille,Club Brugge,3:0,Group A,"[""4'"", ""10'"", ""25'""]","['Franck Sauzée', 'Alen Boksic', 'Alen Boksic']",[],[]
"Mar 3, 1993",Club Brugge,Rangers,1:1,Group A,"[""44'""]",['Tomasz Dziubinski'],"[""72'""]",['Pieter Huistra']
"Mar 3, 1993",CSKA Moscow,Marseille,1:1,Group A,"[""56'""]",['Ilshat Faizulin'],"[""28'""]",['Abédi Pelé']
"Mar 17, 1993",Rangers,Club Brugge,2:1,Group A,"[""39'"", ""75'""]","['Ian Durrant', 'Scott Nisbet']","[""55'""]",['Lorenzo Staelens']
"Mar 17, 1993",Marseille,CSKA Moscow,6:0,Group A,"[""5'"", ""34'"", ""43'"", ""49'"", ""71'"", ""79'""]","['Franck Sauzée', 'Franck Sauzée', 'Abédi Pelé', 'Franck Sauzée', 'Jean-Marc Ferreri', 'Marcel Desailly']",[],[]
"Apr 7, 1993",CSKA Moscow,Club Brugge,1:2,Group A,"[""18'""]",['Oleg Sergeev'],"[""43'"", ""85'""]","['Marc Schaessens', 'Gert Verheyen']"
"Apr 7, 1993",Marseille,Rangers,1:1,Group A,"[""16'""]",['Franck Sauzée'],"[""52'""]",['Ian Durrant']
"Apr 21, 1993",Rangers,CSKA Moscow,0:0,Group A,[],[],[],[]
"Apr 21, 1993",Club Brugge,Marseille,0:1,Group A,[],[],"[""2'""]",['Alen Boksic']
"Nov 25, 1992",FC Porto,PSV Eindhoven,2:2,Group B,"[""35'"", ""75'""]","['Jaime Magalhães', 'Zé Carlos']","[""43'"", ""60'""]","['Romário', 'Romário']"
"Nov 25, 1992",Milan,IFK Göteborg,4:0,Group B,"[""33'"", ""52'"", ""61'"", ""63'""]","['Marco van Basten', 'Marco van Basten', 'Marco van Basten', 'Marco van Basten']",[],[]
"Dec 9, 1992",IFK Göteborg,FC Porto,1:0,Group B,"[""86'""]",['Peter Eriksson'],[],[]
"Dec 9, 1992",PSV Eindhoven,Milan,1:2,Group B,"[""65'""]",['Romário'],"[""19'"", ""62'""]","['Frank Rijkaard', 'Marco Simone']"
"Mar 3, 1993",FC Porto,Milan,0:1,Group B,[],[],"[""71'""]",['Jean-Pierre Papin']
"Mar 3, 1993",PSV Eindhoven,IFK Göteborg,1:3,Group B,"[""7'""]",['Arthur Numan'],"[""19'"", ""34'"", ""44'""]","['Mikael Nilsson', 'Johnny Ekström', 'Johnny Ekström']"
